message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,event,Notify: System assessed as event.,0.7587456621004567,message_0243
msg_091,mute,scam,Mute: System assessed as scam.,0.8208639921722114,message_0238
msg_090,digest,personal,"Digest: Low priority personal update, saved for later.",0.5734513124453812,none
msg_048,mute,personal,Mute: System assessed as personal.,0.6354969767372047,message_0151
msg_040,digest,personal,"Digest: Low priority personal update, saved for later.",0.6074324327159069,message_0136
msg_075,notify,event,Notify: System assessed as event.,0.5516725013292024,none
msg_005,digest,personal,"Digest: Low priority personal update, saved for later.",0.5087614814026715,message_0065
msg_104,digest,personal,"Digest: Low priority personal update, saved for later.",0.5747479337225688,message_0224
msg_069,digest,personal,"Digest: Low priority personal update, saved for later.",0.49076512506103015,message_0193
msg_107,mute,scam,Mute: System assessed as scam.,0.567193837472774,message_0221
msg_070,mute,personal,Mute: System assessed as personal.,0.5705855787833376,message_0369
msg_003,notify,business_update,Notify: System assessed as business_update.,0.7532690802348337,message_0031
msg_099,digest,personal,"Digest: Low priority personal update, saved for later.",0.5979810426685908,message_0227
msg_008,digest,business_update,"Digest: Low priority business_update update, saved for later.",0.6394189715868808,message_0296
msg_092,notify,payment_reminder,Notify: System assessed as payment_reminder.,0.6000000000000001,none
msg_060,notify,personal,Notify: System assessed as personal.,0.6000777454224431,message_0284
msg_004,notify,event,Notify: System assessed as event.,0.8579475076579612,message_0245
msg_030,digest,promotion,"Digest: Low priority promotion update, saved for later.",0.6526216113111045,message_0115
msg_045,mute,event,Mute: System assessed as event.,0.46083441287074906,message_0061
msg_052,notify,promotion,Notify: System assessed as promotion.,0.527189693623373,message_0208
msg_009,digest,personal,"Digest: Low priority personal update, saved for later.",0.6647661609231609,message_0074
msg_071,digest,personal,"Digest: Low priority personal update, saved for later.",0.3530067644290961,none
msg_016,mute,scam,Mute: System assessed as scam.,0.609041692121893,message_0024
msg_065,digest,promotion,"Digest: Low priority promotion update, saved for later.",0.5931986301369863,message_0261
msg_038,digest,business_update,"Digest: Low priority business_update update, saved for later.",0.6626599418307937,message_0131
msg_086,digest,personal,"Digest: Low priority personal update, saved for later.",0.29439918756487315,none
