user_id,do_not_disturb_window,notifications_dismissed_30d,messages_opened_30d
u0,22:00-07:00,5,15
u1,22:00-07:00,5,15
u2,22:00-07:00,5,15
u3,22:00-07:00,5,15
u4,22:00-07:00,5,15
u5,22:00-07:00,5,15
u6,22:00-07:00,5,15
u7,22:00-07:00,5,15
u8,22:00-07:00,5,15
u9,22:00-07:00,5,15
u10,22:00-07:00,5,15
u11,22:00-07:00,5,15
u12,22:00-07:00,5,15
u13,22:00-07:00,5,15
u14,22:00-07:00,5,15
u15,22:00-07:00,5,15
u16,22:00-07:00,5,15
u17,22:00-07:00,5,15
u18,22:00-07:00,5,15
u19,22:00-07:00,5,15
u20,22:00-07:00,5,15
u21,22:00-07:00,5,15
u22,22:00-07:00,5,15
u23,22:00-07:00,5,15
u24,22:00-07:00,5,15
u25,22:00-07:00,5,15
u26,22:00-07:00,5,15
u27,22:00-07:00,5,15
u28,22:00-07:00,5,15
u29,22:00-07:00,5,15
u30,22:00-07:00,5,15
u31,22:00-07:00,5,15
u32,22:00-07:00,5,15
u33,22:00-07:00,5,15
u34,22:00-07:00,5,15
u35,22:00-07:00,5,15
u36,22:00-07:00,5,15
u37,22:00-07:00,5,15
u38,22:00-07:00,5,15
u39,22:00-07:00,5,15
u40,22:00-07:00,5,15
u41,22:00-07:00,5,15
u42,22:00-07:00,5,15
u43,22:00-07:00,5,15
u44,22:00-07:00,5,15
u45,22:00-07:00,5,15
u46,22:00-07:00,5,15
u47,22:00-07:00,5,15
u48,22:00-07:00,5,15
u49,22:00-07:00,5,15
u50,22:00-07:00,5,15
u51,22:00-07:00,5,15
u52,22:00-07:00,5,15
u53,22:00-07:00,5,15
u54,22:00-07:00,5,15
u55,22:00-07:00,5,15
u56,22:00-07:00,5,15
u57,22:00-07:00,5,15
u58,22:00-07:00,5,15
u59,22:00-07:00,5,15
u60,22:00-07:00,5,15
u61,22:00-07:00,5,15
u62,22:00-07:00,5,15
u63,22:00-07:00,5,15
u64,22:00-07:00,5,15
u65,22:00-07:00,5,15
u66,22:00-07:00,5,15
u67,22:00-07:00,5,15
u68,22:00-07:00,5,15
u69,22:00-07:00,5,15
u70,22:00-07:00,5,15
u71,22:00-07:00,5,15
u72,22:00-07:00,5,15
u73,22:00-07:00,5,15
u74,22:00-07:00,5,15
u75,22:00-07:00,5,15
u76,22:00-07:00,5,15
u77,22:00-07:00,5,15
u78,22:00-07:00,5,15
u79,22:00-07:00,5,15
u80,22:00-07:00,5,15
u81,22:00-07:00,5,15
u82,22:00-07:00,5,15
u83,22:00-07:00,5,15
u84,22:00-07:00,5,15
u85,22:00-07:00,5,15
u86,22:00-07:00,5,15
u87,22:00-07:00,5,15
u88,22:00-07:00,5,15
u89,22:00-07:00,5,15
u90,22:00-07:00,5,15
u91,22:00-07:00,5,15
u92,22:00-07:00,5,15
u93,22:00-07:00,5,15
u94,22:00-07:00,5,15
u95,22:00-07:00,5,15
u96,22:00-07:00,5,15
u97,22:00-07:00,5,15
u98,22:00-07:00,5,15
u99,22:00-07:00,5,15
u100,22:00-07:00,5,15
u101,22:00-07:00,5,15
u102,22:00-07:00,5,15
u103,22:00-07:00,5,15
u104,22:00-07:00,5,15
u105,22:00-07:00,5,15
u106,22:00-07:00,5,15
u107,22:00-07:00,5,15
u108,22:00-07:00,5,15
u109,22:00-07:00,5,15
u110,22:00-07:00,5,15
u111,22:00-07:00,5,15
u112,22:00-07:00,5,15
u113,22:00-07:00,5,15
u114,22:00-07:00,5,15
u115,22:00-07:00,5,15
u116,22:00-07:00,5,15
u117,22:00-07:00,5,15
u118,22:00-07:00,5,15
u119,22:00-07:00,5,15
u120,22:00-07:00,5,15
u121,22:00-07:00,5,15
u122,22:00-07:00,5,15
u123,22:00-07:00,5,15
u124,22:00-07:00,5,15
u125,22:00-07:00,5,15
u126,22:00-07:00,5,15
u127,22:00-07:00,5,15
u128,22:00-07:00,5,15
u129,22:00-07:00,5,15
u130,22:00-07:00,5,15
u131,22:00-07:00,5,15
u132,22:00-07:00,5,15
u133,22:00-07:00,5,15
u134,22:00-07:00,5,15
u135,22:00-07:00,5,15
u136,22:00-07:00,5,15
u137,22:00-07:00,5,15
u138,22:00-07:00,5,15
u139,22:00-07:00,5,15
u140,22:00-07:00,5,15
u141,22:00-07:00,5,15
u142,22:00-07:00,5,15
u143,22:00-07:00,5,15
u144,22:00-07:00,5,15
u145,22:00-07:00,5,15
u146,22:00-07:00,5,15
u147,22:00-07:00,5,15
u148,22:00-07:00,5,15
u149,22:00-07:00,5,15
u150,22:00-07:00,5,15
u151,22:00-07:00,5,15
u152,22:00-07:00,5,15
u153,22:00-07:00,5,15
u154,22:00-07:00,5,15
u155,22:00-07:00,5,15
u156,22:00-07:00,5,15
u157,22:00-07:00,5,15
u158,22:00-07:00,5,15
u159,22:00-07:00,5,15
u160,22:00-07:00,5,15
u161,22:00-07:00,5,15
u162,22:00-07:00,5,15
u163,22:00-07:00,5,15
u164,22:00-07:00,5,15
u165,22:00-07:00,5,15
u166,22:00-07:00,5,15
u167,22:00-07:00,5,15
u168,22:00-07:00,5,15
u169,22:00-07:00,5,15
u170,22:00-07:00,5,15
u171,22:00-07:00,5,15
u172,22:00-07:00,5,15
u173,22:00-07:00,5,15
u174,22:00-07:00,5,15
u175,22:00-07:00,5,15
u176,22:00-07:00,5,15
u177,22:00-07:00,5,15
u178,22:00-07:00,5,15
u179,22:00-07:00,5,15
u180,22:00-07:00,5,15
u181,22:00-07:00,5,15
u182,22:00-07:00,5,15
u183,22:00-07:00,5,15
u184,22:00-07:00,5,15
u185,22:00-07:00,5,15
u186,22:00-07:00,5,15
u187,22:00-07:00,5,15
u188,22:00-07:00,5,15
u189,22:00-07:00,5,15
u190,22:00-07:00,5,15
u191,22:00-07:00,5,15
u192,22:00-07:00,5,15
u193,22:00-07:00,5,15
u194,22:00-07:00,5,15
u195,22:00-07:00,5,15
u196,22:00-07:00,5,15
u197,22:00-07:00,5,15
u198,22:00-07:00,5,15
u199,22:00-07:00,5,15
u200,22:00-07:00,5,15
u201,22:00-07:00,5,15
u202,22:00-07:00,5,15
u203,22:00-07:00,5,15
u204,22:00-07:00,5,15
u205,22:00-07:00,5,15
u206,22:00-07:00,5,15
u207,22:00-07:00,5,15
u208,22:00-07:00,5,15
u209,22:00-07:00,5,15
u210,22:00-07:00,5,15
u211,22:00-07:00,5,15
u212,22:00-07:00,5,15
u213,22:00-07:00,5,15
u214,22:00-07:00,5,15
u215,22:00-07:00,5,15
u216,22:00-07:00,5,15
u217,22:00-07:00,5,15
u218,22:00-07:00,5,15
u219,22:00-07:00,5,15
u220,22:00-07:00,5,15
u221,22:00-07:00,5,15
u222,22:00-07:00,5,15
u223,22:00-07:00,5,15
u224,22:00-07:00,5,15
u225,22:00-07:00,5,15
u226,22:00-07:00,5,15
u227,22:00-07:00,5,15
u228,22:00-07:00,5,15
u229,22:00-07:00,5,15
u230,22:00-07:00,5,15
u231,22:00-07:00,5,15
u232,22:00-07:00,5,15
u233,22:00-07:00,5,15
u234,22:00-07:00,5,15
u235,22:00-07:00,5,15
u236,22:00-07:00,5,15
u237,22:00-07:00,5,15
u238,22:00-07:00,5,15
u239,22:00-07:00,5,15
u240,22:00-07:00,5,15
u241,22:00-07:00,5,15
u242,22:00-07:00,5,15
u243,22:00-07:00,5,15
u244,22:00-07:00,5,15
u245,22:00-07:00,5,15
u246,22:00-07:00,5,15
u247,22:00-07:00,5,15
u248,22:00-07:00,5,15
u249,22:00-07:00,5,15
u250,22:00-07:00,5,15
u251,22:00-07:00,5,15
u252,22:00-07:00,5,15
u253,22:00-07:00,5,15
u254,22:00-07:00,5,15
u255,22:00-07:00,5,15
u256,22:00-07:00,5,15
u257,22:00-07:00,5,15
u258,22:00-07:00,5,15
u259,22:00-07:00,5,15
u260,22:00-07:00,5,15
u261,22:00-07:00,5,15
u262,22:00-07:00,5,15
u263,22:00-07:00,5,15
u264,22:00-07:00,5,15
u265,22:00-07:00,5,15
u266,22:00-07:00,5,15
u267,22:00-07:00,5,15
u268,22:00-07:00,5,15
u269,22:00-07:00,5,15
u270,22:00-07:00,5,15
u271,22:00-07:00,5,15
u272,22:00-07:00,5,15
u273,22:00-07:00,5,15
u274,22:00-07:00,5,15
u275,22:00-07:00,5,15
u276,22:00-07:00,5,15
u277,22:00-07:00,5,15
u278,22:00-07:00,5,15
u279,22:00-07:00,5,15
u280,22:00-07:00,5,15
u281,22:00-07:00,5,15
u282,22:00-07:00,5,15
u283,22:00-07:00,5,15
u284,22:00-07:00,5,15
u285,22:00-07:00,5,15
u286,22:00-07:00,5,15
u287,22:00-07:00,5,15
u288,22:00-07:00,5,15
u289,22:00-07:00,5,15
u290,22:00-07:00,5,15
u291,22:00-07:00,5,15
u292,22:00-07:00,5,15
u293,22:00-07:00,5,15
u294,22:00-07:00,5,15
u295,22:00-07:00,5,15
u296,22:00-07:00,5,15
u297,22:00-07:00,5,15
u298,22:00-07:00,5,15
u299,22:00-07:00,5,15
u300,22:00-07:00,5,15
u301,22:00-07:00,5,15
u302,22:00-07:00,5,15
u303,22:00-07:00,5,15
u304,22:00-07:00,5,15
u305,22:00-07:00,5,15
u306,22:00-07:00,5,15
u307,22:00-07:00,5,15
u308,22:00-07:00,5,15
u309,22:00-07:00,5,15
u310,22:00-07:00,5,15
u311,22:00-07:00,5,15
u312,22:00-07:00,5,15
u313,22:00-07:00,5,15
u314,22:00-07:00,5,15
u315,22:00-07:00,5,15
u316,22:00-07:00,5,15
u317,22:00-07:00,5,15
u318,22:00-07:00,5,15
u319,22:00-07:00,5,15
u320,22:00-07:00,5,15
u321,22:00-07:00,5,15
u322,22:00-07:00,5,15
u323,22:00-07:00,5,15
u324,22:00-07:00,5,15
u325,22:00-07:00,5,15
u326,22:00-07:00,5,15
u327,22:00-07:00,5,15
u328,22:00-07:00,5,15
u329,22:00-07:00,5,15
u330,22:00-07:00,5,15
u331,22:00-07:00,5,15
u332,22:00-07:00,5,15
u333,22:00-07:00,5,15
u334,22:00-07:00,5,15
u335,22:00-07:00,5,15
u336,22:00-07:00,5,15
u337,22:00-07:00,5,15
u338,22:00-07:00,5,15
u339,22:00-07:00,5,15
u340,22:00-07:00,5,15
u341,22:00-07:00,5,15
u342,22:00-07:00,5,15
u343,22:00-07:00,5,15
u344,22:00-07:00,5,15
u345,22:00-07:00,5,15
u346,22:00-07:00,5,15
u347,22:00-07:00,5,15
u348,22:00-07:00,5,15
u349,22:00-07:00,5,15
u350,22:00-07:00,5,15
u351,22:00-07:00,5,15
u352,22:00-07:00,5,15
u353,22:00-07:00,5,15
u354,22:00-07:00,5,15
u355,22:00-07:00,5,15
u356,22:00-07:00,5,15
u357,22:00-07:00,5,15
